Time, Queue-Density
25, 0.269589, 0.00270494
25.0667, 0.269426, 0.00399661
25.1333, 0.269561, 0.00388311
25.2, 0.26958, 0.00259955
25.2667, 0.269405, 0.00368044
25.3333, 0.269462, 0.00377502
25.4, 0.270229, 0.00280762
25.4667, 0.271094, 0.00496671
25.5333, 0.272115, 0.00624487
25.6, 0.273001, 0.00485862
25.6667, 0.274482, 0.00765813
25.7333, 0.275836, 0.00854717
25.8, 0.276236, 0.00653401
25.8667, 0.277687, 0.00947404
25.9333, 0.279111, 0.0101064
26, 0.279843, 0.00751221
26.0667, 0.280106, 0.0105684
26.1333, 0.28086, 0.0107306
26.2, 0.281043, 0.00782838
26.2667, 0.281432, 0.0109522
26.3333, 0.28037, 0.0138706
26.4, 0.28073, 0.00728252
26.4667, 0.281346, 0.0106846
26.5333, 0.282078, 0.0104306
26.6, 0.282265, 0.00722578
26.6667, 0.282508, 0.0117304
26.7333, 0.284721, 0.0128978
26.8, 0.286183, 0.00855257
26.8667, 0.290588, 0.0140084
26.9333, 0.296203, 0.0144353
27, 0.29937, 0.00868498
27.0667, 0.306323, 0.0157297
27.1333, 0.313492, 0.0174051
27.2, 0.317351, 0.0108279
27.2667, 0.325465, 0.0190886
27.3333, 0.332953, 0.0206856
27.4, 0.338025, 0.0137409
27.4667, 0.346589, 0.0232635
27.5333, 0.35572, 0.0245579
27.6, 0.360359, 0.0164161
27.6667, 0.369571, 0.0271061
27.7333, 0.37917, 0.0283032
27.8, 0.383269, 0.0184563
27.8667, 0.391392, 0.030138
27.9333, 0.399566, 0.0311243
28, 0.39645, 0.0320701
28.0667, 0.403057, 0.0326754
28.1333, 0.410402, 0.0348778
28.2, 0.413566, 0.023958
28.2667, 0.421508, 0.037326
28.3333, 0.428864, 0.0382474
28.4, 0.431093, 0.0267846
28.4667, 0.435341, 0.0397175
28.5333, 0.440043, 0.0399769
28.6, 0.442337, 0.0270305
28.6667, 0.44715, 0.0399066
28.7333, 0.45193, 0.04072
28.8, 0.45467, 0.0282816
28.8667, 0.460537, 0.041555
28.9333, 0.465709, 0.0416306
29, 0.468446, 0.0290869
29.0667, 0.473088, 0.0426007
29.1333, 0.476609, 0.0430709
29.2, 0.477136, 0.0301326
29.2667, 0.478809, 0.045938
29.3333, 0.480503, 0.0476566
29.4, 0.480947, 0.0322836
29.4667, 0.481076, 0.0501075
29.5333, 0.479903, 0.050829
29.6, 0.480698, 0.0341887
29.6667, 0.479263, 0.0586763
29.7333, 0.480293, 0.049305
29.8, 0.480439, 0.032897
29.8667, 0.481014, 0.052499
29.9333, 0.480001, 0.0528611
30, 0.479398, 0.033551
30.0667, 0.478628, 0.0535286
30.1333, 0.478658, 0.0530962
30.2, 0.478355, 0.0325349
30.2667, 0.478088, 0.0520505
30.3333, 0.478577, 0.0512182
30.4, 0.479155, 0.02953
30.4667, 0.479341, 0.0499157
30.5333, 0.480298, 0.0493374
30.6, 0.47962, 0.0270791
30.6667, 0.478893, 0.0469027
30.7333, 0.479733, 0.0436519
30.8, 0.480239, 0.0254361
30.8667, 0.479668, 0.0422738
30.9333, 0.479241, 0.0401255
31, 0.47916, 0.0201208
31.0667, 0.479096, 0.0381772
31.1333, 0.478147, 0.0337996
31.2, 0.477844, 0.0182806
31.2667, 0.477269, 0.0319755
31.3333, 0.478247, 0.0348075
31.4, 0.478339, 0.0137328
31.4667, 0.477782, 0.0274439
31.5333, 0.477571, 0.0249984
31.6, 0.477555, 0.0125357
31.6667, 0.477282, 0.0237526
31.7333, 0.476485, 0.0221583
31.8, 0.47551, 0.0108711
31.8667, 0.477215, 0.0210099
31.9333, 0.475564, 0.0205802
32, 0.474939, 0.0102631
32.0667, 0.474796, 0.0222286
32.1333, 0.474321, 0.0187805
32.2, 0.473961, 0.0096713
32.2667, 0.474896, 0.0177213
32.3333, 0.475042, 0.0173538
32.4, 0.474653, 0.00732306
32.4667, 0.474591, 0.0159351
32.5333, 0.474448, 0.0136598
32.6, 0.47415, 0.00648807
32.6667, 0.473313, 0.0135112
32.7333, 0.473415, 0.0125086
32.8, 0.472751, 0.00485051
32.8667, 0.472183, 0.0117736
32.9333, 0.471891, 0.0102469
33, 0.470656, 0.0109386
33.0667, 0.470651, 0.00884171
33.1333, 0.47171, 0.00924435
33.2, 0.4716, 0.00368585
33.2667, 0.474067, 0.00945782
33.3333, 0.476823, 0.0119763
33.4, 0.478685, 0.00735819
33.4667, 0.482295, 0.0116277
33.5333, 0.486751, 0.0107414
33.6, 0.488556, 0.00847151
33.6667, 0.490623, 0.0143164
33.7333, 0.493058, 0.0164485
33.8, 0.495287, 0.0120331
33.8667, 0.497327, 0.0178618
33.9333, 0.499611, 0.019221
34, 0.500848, 0.0141327
34.0667, 0.502773, 0.0202668
34.1333, 0.503783, 0.0199425
34.2, 0.504332, 0.0142597
34.2667, 0.505969, 0.0205208
34.3333, 0.508023, 0.0197452
34.4, 0.509506, 0.013722
34.4667, 0.512438, 0.0196993
34.5333, 0.516494, 0.0194588
34.6, 0.518235, 0.0134328
34.6667, 0.520178, 0.0273574
34.7333, 0.522804, 0.0193993
34.8, 0.52509, 0.0130491
34.8667, 0.528109, 0.0197777
34.9333, 0.531665, 0.0202938
35, 0.533275, 0.0133544
35.0667, 0.535834, 0.0199749
35.1333, 0.537791, 0.0199398
35.2, 0.539536, 0.0128789
35.2667, 0.540925, 0.0195993
35.3333, 0.542382, 0.0198182
35.4, 0.543195, 0.0131302
35.4667, 0.543746, 0.0197804
35.5333, 0.543471, 0.0197074
35.6, 0.544214, 0.0129275
35.6667, 0.545122, 0.0198371
35.7333, 0.5455, 0.0192453
35.8, 0.545565, 0.0125573
35.8667, 0.546251, 0.0187805
35.9333, 0.547189, 0.0184211
36, 0.547197, 0.0121682
36.0667, 0.547422, 0.0182725
36.1333, 0.549013, 0.0173321
36.2, 0.549581, 0.0108225
36.2667, 0.549629, 0.016208
36.3333, 0.545408, 0.0233365
36.4, 0.545757, 0.00916868
36.4667, 0.545468, 0.014357
36.5333, 0.545235, 0.014511
36.6, 0.544457, 0.00877686
36.6667, 0.543736, 0.0136841
36.7333, 0.543011, 0.013422
36.8, 0.543009, 0.0082175
36.8667, 0.543257, 0.0128626
36.9333, 0.543203, 0.0112818
37, 0.54316, 0.00709067
37.0667, 0.542366, 0.0114359
37.1333, 0.542239, 0.011063
37.2, 0.542517, 0.00629621
37.2667, 0.542176, 0.0104766
37.3333, 0.542563, 0.0117601
37.4, 0.54249, 0.00565037
37.4667, 0.542352, 0.0129356
37.5333, 0.542817, 0.0145867
37.6, 0.54232, 0.00698798
37.6667, 0.542082, 0.0157946
37.7333, 0.540955, 0.0167458
37.8, 0.54196, 0.00720956
37.8667, 0.541814, 0.0192723
37.9333, 0.54312, 0.0176564
38, 0.540393, 0.0145245
38.0667, 0.541658, 0.0140922
38.1333, 0.542344, 0.0127086
38.2, 0.542603, 0.00400471
38.2667, 0.544363, 0.00800672
38.3333, 0.545454, 0.00635296
38.4, 0.546533, 0.00215098
38.4667, 0.54747, 0.00526666
38.5333, 0.549308, 0.00445869
38.6, 0.549816, 0.00178618
38.6667, 0.551202, 0.00484511
38.7333, 0.553269, 0.00545581
38.8, 0.554201, 0.00302921
38.8667, 0.555199, 0.00648536
38.9333, 0.557455, 0.00787431
39, 0.557968, 0.00397769
39.0667, 0.559595, 0.00839585
39.1333, 0.561176, 0.00779865
39.2, 0.562254, 0.00419927
39.2667, 0.563408, 0.00854177
39.3333, 0.565383, 0.00840936
39.4, 0.566213, 0.00530989
39.4667, 0.567999, 0.00910924
39.5333, 0.569439, 0.00968751
39.6, 0.570039, 0.00533691
39.6667, 0.572904, 0.0158756
39.7333, 0.576946, 0.0100199
39.8, 0.57933, 0.0055558
39.8667, 0.58171, 0.00992531
39.9333, 0.584585, 0.0101145
40, 0.586509, 0.00590979
40.0667, 0.588258, 0.010409
40.1333, 0.589979, 0.0101793
40.2, 0.590679, 0.00629891
40.2667, 0.592443, 0.00995774
40.3333, 0.593716, 0.0102009
40.4, 0.595027, 0.00602058
40.4667, 0.597856, 0.0106765
40.5333, 0.601701, 0.0103793
40.6, 0.603255, 0.00646645
40.6667, 0.605125, 0.0114088
40.7333, 0.607571, 0.0115494
40.8, 0.607971, 0.00743655
40.8667, 0.609319, 0.0125384
40.9333, 0.609957, 0.0130329
41, 0.610575, 0.00744196
41.0667, 0.611329, 0.0135166
41.1333, 0.612316, 0.0137517
41.2, 0.612413, 0.00774731
41.2667, 0.612367, 0.0135517
41.3333, 0.614907, 0.0194156
41.4, 0.614864, 0.00764462
41.4667, 0.61478, 0.0131383
41.5333, 0.614442, 0.0127546
41.6, 0.614475, 0.00735008
41.6667, 0.614632, 0.0126384
41.7333, 0.614329, 0.0122411
41.8, 0.614683, 0.00713931
41.8667, 0.61471, 0.0122195
41.9333, 0.615094, 0.0120817
42, 0.616131, 0.00675829
42.0667, 0.617669, 0.0117466
42.1333, 0.618336, 0.0116196
42.2, 0.618658, 0.00659345
42.2667, 0.61939, 0.0113251
42.3333, 0.620295, 0.0111818
42.4, 0.620601, 0.00656373
42.4667, 0.621844, 0.0112521
42.5333, 0.623076, 0.0115467
42.6, 0.623187, 0.00682044
42.6667, 0.623922, 0.0116683
42.7333, 0.623492, 0.0114332
42.8, 0.623673, 0.00703662
42.8667, 0.623941, 0.011979
42.9333, 0.624152, 0.0119871
43, 0.625378, 0.0126546
43.0667, 0.625843, 0.0109927
43.1333, 0.626532, 0.0109197
43.2, 0.627362, 0.00700149
43.2667, 0.628551, 0.0112926
43.3333, 0.629121, 0.0121682
43.4, 0.629213, 0.00803375
43.4667, 0.62951, 0.0131248
43.5333, 0.628897, 0.0119304
43.6, 0.628986, 0.00715552
43.6667, 0.627529, 0.0109549
43.7333, 0.625632, 0.0103333
43.8, 0.625411, 0.00539907
43.8667, 0.625181, 0.00866066
43.9333, 0.624662, 0.00874173
44, 0.624576, 0.00530179
44.0667, 0.624805, 0.00863364
44.1333, 0.625005, 0.00854717
44.2, 0.624716, 0.00494779
44.2667, 0.624492, 0.00867688
44.3333, 0.624422, 0.00877416
44.4, 0.624157, 0.00473161
44.4667, 0.623819, 0.00852555
44.5333, 0.623984, 0.00917679
44.6, 0.623908, 0.00477215
44.6667, 0.621506, 0.01423
44.7333, 0.621284, 0.00850393
44.8, 0.621428, 0.00486402
44.8667, 0.621214, 0.00867958
44.9333, 0.620306, 0.00847691
45, 0.620714, 0.00478566
45.0667, 0.620112, 0.00837423
45.1333, 0.619885, 0.00851745
45.2, 0.620395, 0.00460731
45.2667, 0.619879, 0.00824182
45.3333, 0.620063, 0.00800943
45.4, 0.620493, 0.00487483
45.4667, 0.620325, 0.00812562
45.5333, 0.61982, 0.00830937
45.6, 0.619682, 0.00433439
45.6667, 0.619163, 0.00807968
45.7333, 0.619096, 0.00762841
45.8, 0.618785, 0.00424791
45.8667, 0.618915, 0.0074987
45.9333, 0.618906, 0.00766894
46, 0.618777, 0.00408038
46.0667, 0.61869, 0.00714471
46.1333, 0.618804, 0.00697717
46.2, 0.618896, 0.00373449
46.2667, 0.619004, 0.00680963
46.3333, 0.618369, 0.0125141
46.4, 0.61885, 0.00334537
46.4667, 0.619387, 0.00671235
46.5333, 0.619482, 0.00625567
46.6, 0.619739, 0.0033832
46.6667, 0.619769, 0.00607733
46.7333, 0.619917, 0.00643672
46.8, 0.619558, 0.00298057
46.8667, 0.618952, 0.00568821
46.9333, 0.619077, 0.00554499
47, 0.619042, 0.0027833
47.0667, 0.618882, 0.00515857
47.1333, 0.619374, 0.00506669
47.2, 0.619136, 0.00237797
47.2667, 0.619366, 0.00506939
47.3333, 0.619239, 0.00498833
47.4, 0.619617, 0.00201046
47.4667, 0.619714, 0.00471
47.5333, 0.619979, 0.00452084
47.6, 0.620912, 0.00171862
47.6667, 0.620428, 0.00381285
47.7333, 0.620609, 0.00400471
47.8, 0.62062, 0.00142678
47.8667, 0.621595, 0.00372098
47.9333, 0.621266, 0.00275088
48, 0.620444, 0.00642321
48.0667, 0.620866, 0.0026536
48.1333, 0.620993, 0.00286167
48.2, 0.621417, 0.000807968
48.2667, 0.621398, 0.00284545
48.3333, 0.621411, 0.00262927
48.4, 0.621844, 0.000891738
48.4667, 0.621684, 0.00246444
48.5333, 0.622203, 0.00202668
48.6, 0.62216, 0.000856609
48.6667, 0.622068, 0.00220773
48.7333, 0.623335, 0.00215368
48.8, 0.6238, 0.000470189
48.8667, 0.623514, 0.00148893
48.9333, 0.623184, 0.00198885
49, 0.6238, 0.000759328
49.0667, 0.623865, 0.00106198
49.1333, 0.624697, 0.00147542
49.2, 0.624741, 0.000651239
49.2667, 0.624949, 0.00173213
49.3333, 0.626011, 0.00159972
49.4, 0.626392, 0.000608003
49.4667, 0.626562, 0.000878226
49.5333, 0.6266, 0.000816075
49.6, 0.62684, 0.00038642
49.6667, 0.62583, 0.0035021
49.7333, 0.627029, 0.00131058
49.8, 0.628834, 0.000929569
49.8667, 0.629499, 0.00105117
49.9333, 0.62978, 0.00138084
50, 0.630356, 0.000443167
50.0667, 0.630729, 0.000961996
50.1333, 0.631312, 0.000789053
50.2, 0.631891, 0.000656643
50.2667, 0.633061, 0.00155108
50.3333, 0.634593, 0.00189156
50.4, 0.635404, 0.00137003
50.4667, 0.63596, 0.00281573
50.5333, 0.636974, 0.00303191
50.6, 0.636893, 0.00157811
50.6667, 0.638271, 0.00325349
50.7333, 0.64133, 0.0035021
50.8, 0.642816, 0.00163485
50.8667, 0.643737, 0.00295084
50.9333, 0.645156, 0.00285626
51, 0.645418, 0.00138084
51.0667, 0.646812, 0.00216989
51.1333, 0.647599, 0.00207261
51.2, 0.647699, 0.00195912
51.2667, 0.64845, 0.00226447
51.3333, 0.652333, 0.00420198
51.4, 0.652609, 0.000764733
51.4667, 0.652744, 0.000886333
51.5333, 0.652701, 0.000602598
51.6, 0.652601, 0.000383717
51.6667, 0.652406, 0.000672857
51.7333, 0.652422, 0.000729604
51.8, 0.652322, 0.000516127
51.8667, 0.650777, 0.00106738
51.9333, 0.649909, 0.00144299
52, 0.650071, 0.000805266
52.0667, 0.648901, 0.00206721
52.1333, 0.649501, 0.00299137
52.2, 0.649072, 0.00249146
52.2667, 0.649431, 0.00267521
52.3333, 0.647934, 0.00256172
52.4, 0.646929, 0.00144029
52.4667, 0.646148, 0.00317783
